iter	Passed	Remaining
0	0	256
1	0	239
2	0	228
3	0	240
4	1	247
5	1	244
6	1	246
7	1	243
8	2	239
9	2	234
10	2	231
11	2	229
12	2	227
13	3	224
14	3	222
15	3	220
16	3	218
17	3	217
18	4	216
19	4	214
20	4	213
21	4	212
22	4	211
23	5	210
24	5	210
25	5	209
26	5	210
27	6	209
28	6	208
29	6	207
30	6	206
31	6	206
32	7	206
33	7	206
34	7	206
35	7	206
36	7	206
37	8	207
38	8	208
39	8	208
40	8	207
41	9	207
42	9	207
43	9	207
44	9	208
45	10	208
46	10	208
47	10	208
48	10	208
49	10	207
50	11	206
51	11	206
52	11	205
53	11	204
54	11	204
55	12	204
56	12	203
57	12	203
58	12	202
59	12	202
60	13	201
61	13	200
62	13	200
63	13	200
64	13	199
65	14	199
66	14	198
67	14	198
68	14	197
69	14	197
70	15	198
71	15	197
72	15	197
73	15	197
74	15	196
75	16	196
76	16	197
77	16	196
78	16	196
79	17	196
80	17	195
81	17	195
82	17	193
83	17	193
84	17	193
85	18	192
86	18	192
87	18	191
88	18	191
89	18	191
90	19	190
91	19	190
92	19	190
93	19	189
94	19	189
95	20	189
96	20	189
97	20	188
98	20	188
99	20	188
100	21	188
101	21	188
102	21	187
103	21	187
104	21	187
105	22	186
106	22	186
107	22	186
108	22	185
109	22	185
110	23	185
111	23	184
112	23	184
113	23	184
114	23	184
115	24	184
116	24	183
117	24	183
118	24	182
119	24	182
120	25	182
121	25	182
122	25	181
123	25	181
124	25	181
125	26	181
126	26	180
127	26	180
128	26	180
129	26	179
130	27	179
131	27	179
132	27	179
133	27	178
134	27	178
135	28	178
136	28	177
137	28	177
138	28	177
139	28	177
140	29	177
141	29	176
142	29	176
143	29	175
144	29	175
145	30	175
146	30	175
147	30	175
148	30	174
149	30	174
150	31	174
151	31	174
152	31	174
153	31	173
154	31	174
155	32	173
156	32	173
157	32	173
158	32	173
159	33	173
160	33	172
161	33	172
162	33	172
163	33	172
164	33	171
165	34	171
166	34	171
167	34	171
168	34	170
169	34	170
170	35	170
171	35	170
172	35	169
173	35	169
174	35	169
175	36	169
176	36	168
177	36	168
178	36	168
179	36	168
180	37	167
181	37	167
182	37	167
183	37	167
184	37	167
185	38	166
186	38	166
187	38	166
188	38	166
189	38	165
190	39	165
191	39	165
192	39	165
193	39	165
194	39	164
195	40	164
196	40	164
197	40	164
198	40	163
199	40	163
200	41	163
201	41	163
202	41	163
203	41	162
204	41	162
205	42	162
206	42	162
207	42	161
208	42	161
209	42	161
210	43	161
211	43	161
212	43	160
213	43	160
214	43	160
215	44	160
216	44	160
217	44	159
218	44	159
219	44	159
220	45	159
221	45	159
222	45	158
223	45	158
224	45	158
225	46	158
226	46	157
227	46	157
228	46	157
229	46	157
230	47	156
231	47	156
232	47	156
233	47	156
234	48	156
235	48	156
236	48	156
237	48	155
238	48	155
239	49	155
240	49	155
241	49	154
242	49	154
243	49	154
244	50	154
245	50	153
246	50	153
247	50	153
248	50	153
249	50	152
250	51	152
251	51	152
252	51	152
253	51	152
254	52	152
255	52	151
256	52	151
257	52	151
258	52	151
259	53	151
260	53	150
261	53	150
262	53	150
263	53	150
264	54	150
265	54	149
266	54	149
267	54	149
268	54	149
269	55	148
270	55	148
271	55	148
272	55	148
273	55	148
274	56	147
275	56	148
276	56	148
277	57	148
278	57	147
279	57	147
280	57	147
281	57	147
282	58	147
283	58	146
284	58	146
285	58	146
286	58	146
287	59	145
288	59	145
289	59	145
290	59	145
291	59	145
292	60	144
293	60	144
294	60	144
295	60	144
296	60	144
297	61	143
298	61	143
299	61	143
300	61	143
301	61	142
302	62	142
303	62	142
304	62	142
305	62	142
306	62	141
307	63	141
308	63	141
309	63	141
310	63	140
311	63	140
312	64	140
313	64	140
314	64	140
315	64	140
316	64	139
317	65	139
318	65	139
319	65	139
320	65	138
321	65	138
322	66	138
323	66	138
324	66	138
325	66	137
326	66	137
327	67	137
328	67	137
329	67	136
330	67	136
331	67	136
332	68	136
333	68	136
334	68	135
335	68	135
336	68	135
337	69	135
338	70	136
339	70	136
340	70	136
341	70	135
342	70	135
343	71	135
344	71	135
345	71	135
346	71	134
347	71	134
348	72	134
349	72	134
350	72	134
351	72	133
352	72	133
353	73	133
354	73	133
355	73	133
356	73	132
357	73	132
358	74	132
359	74	132
360	74	131
361	74	131
362	74	131
363	75	131
364	75	131
365	75	130
366	75	130
367	75	130
368	76	130
369	76	129
370	76	129
371	76	129
372	76	129
373	77	129
374	77	128
375	77	128
376	77	128
377	77	128
378	78	127
379	78	127
380	78	127
381	78	127
382	78	127
383	79	126
384	79	126
385	79	126
386	79	126
387	79	126
388	80	125
389	80	125
390	80	125
391	80	125
392	80	125
393	81	124
394	81	124
395	81	124
396	81	124
397	82	124
398	82	123
399	82	123
400	82	123
401	82	123
402	82	122
403	83	122
404	83	122
405	83	122
406	83	121
407	83	121
408	84	121
409	84	121
410	84	121
411	84	120
412	84	120
413	85	120
414	85	120
415	85	119
416	85	119
417	85	119
418	85	119
419	86	119
420	86	118
421	86	118
422	86	118
423	87	118
424	87	118
425	87	117
426	87	117
427	87	117
428	88	117
429	88	116
430	88	116
431	88	116
432	88	116
433	88	116
434	89	115
435	89	115
436	89	115
437	89	115
438	90	115
439	90	114
440	90	114
441	90	114
442	90	114
443	91	114
444	91	113
445	91	113
446	91	113
447	91	113
448	92	113
449	92	112
450	92	112
451	92	112
452	92	112
453	93	111
454	93	111
455	93	111
456	93	111
457	93	111
458	94	110
459	94	110
460	94	110
461	94	110
462	94	110
463	95	109
464	95	109
465	95	109
466	95	109
467	95	109
468	96	108
469	96	108
470	96	108
471	96	108
472	96	107
473	97	107
474	97	107
475	97	107
476	97	107
477	97	106
478	98	106
479	98	106
480	98	106
481	98	105
482	98	105
483	99	105
484	99	105
485	99	105
486	99	104
487	99	104
488	100	104
489	100	104
490	100	104
491	100	103
492	100	103
493	100	103
494	101	103
495	101	102
496	101	102
497	101	102
498	101	102
499	102	102
500	102	102
501	102	101
502	102	101
503	103	101
504	103	101
505	103	100
506	103	100
507	103	100
508	103	100
509	104	100
510	104	100
511	104	99
512	104	99
513	105	99
514	105	99
515	105	98
516	105	98
517	105	98
518	106	98
519	106	98
520	106	97
521	106	97
522	106	97
523	107	97
524	107	97
525	107	96
526	107	96
527	107	96
528	108	96
529	108	95
530	108	95
531	108	95
532	108	95
533	108	95
534	109	94
535	109	94
536	109	94
537	109	94
538	109	94
539	110	93
540	110	93
541	110	93
542	110	93
543	111	93
544	111	92
545	111	92
546	111	92
547	111	92
548	112	92
549	112	91
550	112	91
551	112	91
552	112	91
553	113	90
554	113	90
555	113	90
556	113	90
557	113	90
558	114	89
559	114	89
560	114	89
561	114	89
562	114	89
563	115	88
564	115	88
565	115	88
566	115	88
567	115	88
568	115	87
569	116	87
570	116	87
571	116	87
572	116	86
573	116	86
574	117	86
575	117	86
576	117	86
577	117	85
578	117	85
579	118	85
580	118	85
581	118	85
582	118	84
583	118	84
584	119	84
585	119	84
586	119	84
587	119	83
588	119	83
589	120	83
590	120	83
591	120	83
592	120	82
593	120	82
594	121	82
595	121	82
596	121	82
597	121	81
598	121	81
599	122	81
600	122	81
601	122	80
602	122	80
603	122	80
604	123	80
605	123	80
606	123	79
607	123	79
608	123	79
609	124	79
610	124	79
611	124	78
612	124	78
613	124	78
614	125	78
615	125	78
616	125	77
617	125	77
618	125	77
619	126	77
620	126	77
621	126	76
622	126	76
623	126	76
624	127	76
625	127	76
626	127	75
627	127	75
628	127	75
629	128	75
630	128	75
631	128	74
632	128	74
633	128	74
634	129	74
635	129	73
636	129	73
637	129	73
638	129	73
639	130	73
640	130	72
641	130	72
642	130	72
643	130	72
644	131	72
645	131	71
646	131	71
647	131	71
648	131	71
649	132	71
650	132	70
651	132	70
652	132	70
653	132	70
654	132	70
655	133	69
656	133	69
657	133	69
658	133	69
659	133	69
660	134	68
661	134	68
662	134	68
663	134	68
664	134	67
665	135	67
666	135	67
667	135	67
668	135	67
669	136	66
670	136	66
671	136	66
672	136	66
673	136	66
674	137	65
675	137	65
676	137	65
677	137	65
678	137	65
679	138	64
680	138	64
681	138	64
682	138	64
683	138	64
684	138	63
685	139	63
686	139	63
687	139	63
688	139	63
689	139	62
690	140	62
691	140	62
692	140	62
693	140	62
694	140	61
695	141	61
696	141	61
697	141	61
698	141	61
699	141	60
700	142	60
701	142	60
702	142	60
703	142	60
704	142	59
705	143	59
706	143	59
707	143	59
708	143	58
709	143	58
710	144	58
711	144	58
712	144	58
713	144	57
714	144	57
715	145	57
716	145	57
717	145	57
718	145	56
719	145	56
720	146	56
721	146	56
722	146	56
723	146	55
724	146	55
725	147	55
726	147	55
727	147	55
728	147	54
729	147	54
730	147	54
731	148	54
732	148	54
733	148	53
734	148	53
735	148	53
736	149	53
737	149	53
738	149	52
739	149	52
740	149	52
741	150	52
742	150	52
743	150	51
744	150	51
745	151	51
746	151	51
747	151	51
748	151	50
749	151	50
750	152	50
751	152	50
752	152	50
753	152	49
754	152	49
755	153	49
756	153	49
757	153	48
758	153	48
759	153	48
760	154	48
761	154	48
762	154	47
763	154	47
764	154	47
765	154	47
766	155	47
767	155	46
768	155	46
769	155	46
770	155	46
771	156	46
772	156	45
773	156	45
774	156	45
775	157	45
776	157	45
777	157	44
778	157	44
779	157	44
780	158	44
781	158	44
782	158	43
783	158	43
784	158	43
785	159	43
786	159	43
787	159	42
788	159	42
789	159	42
790	160	42
791	160	42
792	160	41
793	160	41
794	160	41
795	161	41
796	161	41
797	161	40
798	161	40
799	161	40
800	162	40
801	162	40
802	162	39
803	162	39
804	162	39
805	163	39
806	163	39
807	163	38
808	163	38
809	163	38
810	164	38
811	164	38
812	164	37
813	164	37
814	164	37
815	165	37
816	165	37
817	165	36
818	165	36
819	165	36
820	166	36
821	166	35
822	166	35
823	166	35
824	166	35
825	167	35
826	167	35
827	167	34
828	167	34
829	167	34
830	168	34
831	168	33
832	168	33
833	168	33
834	168	33
835	169	33
836	169	32
837	169	32
838	169	32
839	169	32
840	170	32
841	170	31
842	170	31
843	170	31
844	170	31
845	171	31
846	171	30
847	171	30
848	171	30
849	171	30
850	172	30
851	172	29
852	172	29
853	172	29
854	172	29
855	173	29
856	173	28
857	173	28
858	173	28
859	173	28
860	174	28
861	174	27
862	174	27
863	174	27
864	174	27
865	175	27
866	175	26
867	175	26
868	175	26
869	175	26
870	176	26
871	176	25
872	176	25
873	176	25
874	176	25
875	177	25
876	177	24
877	177	24
878	177	24
879	177	24
880	178	24
881	178	23
882	178	23
883	178	23
884	178	23
885	178	23
886	179	22
887	179	22
888	179	22
889	179	22
890	179	22
891	180	21
892	180	21
893	180	21
894	180	21
895	181	21
896	181	20
897	181	20
898	181	20
899	181	20
900	182	20
901	182	19
902	182	19
903	182	19
904	182	19
905	183	18
906	183	18
907	183	18
908	183	18
909	183	18
910	184	17
911	184	17
912	184	17
913	184	17
914	184	17
915	184	16
916	185	16
917	185	16
918	185	16
919	185	16
920	185	15
921	186	15
922	186	15
923	186	15
924	186	15
925	186	14
926	187	14
927	187	14
928	187	14
929	187	14
930	187	13
931	188	13
932	188	13
933	188	13
934	188	13
935	188	12
936	189	12
937	189	12
938	189	12
939	189	12
940	189	11
941	190	11
942	190	11
943	190	11
944	190	11
945	190	10
946	191	10
947	191	10
948	191	10
949	191	10
950	191	9
951	192	9
952	192	9
953	192	9
954	192	9
955	192	8
956	193	8
957	193	8
958	193	8
959	193	8
960	193	7
961	194	7
962	194	7
963	194	7
964	194	7
965	194	6
966	195	6
967	195	6
968	195	6
969	195	6
970	195	5
971	196	5
972	196	5
973	196	5
974	196	5
975	196	4
976	197	4
977	197	4
978	197	4
979	197	4
980	197	3
981	197	3
982	198	3
983	198	3
984	198	3
985	198	2
986	198	2
987	199	2
988	199	2
989	199	2
990	199	1
991	199	1
992	200	1
993	200	1
994	200	1
995	200	0
996	200	0
997	201	0
998	201	0
999	201	0
